ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,202,31/08/1992,0,20,0.01,1.299999952,0.059999999,4.809999943,6.489999771,15,2,0.039999999,166,1.110000014,13,1,0.200000003,0.699999988,6.099999905,200,0.119999997,,,0.439999998,5,0.149499997,,3.299999952
3,,202,31/08/1992,20,40,,1.5,,,,,,,,,,0.800000012,0.100000001,,,,,,,,,0.194999993,,
3,,202,31/08/1992,40,60,,1.399999976,,,,,,,,,,0.800000012,0.300000012,,,,,,,,,0.215599999,,
3,,202,31/08/1992,60,90,,1.399999976,,,,,,,,,,0.800000012,0.400000006,,,,,,,,,0.256199986,,
3,,202,26/10/1992,0,20,,1.200000048,,,,,,,,,,81.30000305,21.70000076,,,,,,,,,0.167999998,,
3,,202,26/10/1992,20,40,,1.399999976,,,,,,,,,,0.600000024,4.300000191,,,,,,,,,0.211400002,,
3,,202,26/10/1992,40,60,,1.5,,,,,,,,,,0.100000001,2.400000095,,,,,,,,,0.263999999,,
3,,202,26/10/1992,60,90,,1.600000024,,,,,,,,,,0,1,,,,,,,,,0.326400012,,
3,,202,26/10/1992,90,120,,1.700000048,,,,,,,,,,0,0.400000006,,,,,,,,,0.314500004,,
3,,202,26/10/1992,120,150,,1.799999952,,,,,,,,,,0,0.5,,,,,,,,,0.486000001,,
3,,202,28/01/1993,0,20,,1.299999952,,,,,,,,,,3.5,12.39999962,,,,,,,,,0.191100001,,
3,,202,28/01/1993,20,40,,1.5,,,,,,,,,,0.800000012,3.099999905,,,,,,,,,0.254999995,,
3,,202,28/01/1993,40,60,,1.399999976,,,,,,,,,,0.5,2.5,,,,,,,,,0.26879999,,
3,,202,28/01/1993,60,90,,1.399999976,,,,,,,,,,0.600000024,1.899999976,,,,,,,,,0.320600003,,
