ExpID,Treatment,Date,Depth,Method,Notes
901,ALL,3/7/1996,15,Offset disks,First of two workings
901,ALL,3/7/1996,15,Offset disks,Second working
901,ALL,30/01/1997,15,Offset disks,
901,ALL,8/2/1997,15,Offset disks,First of two workings
901,ALL,8/2/1997,15,Offset disks,Second of two workings
901,ALL,10/2/1997,25,Chisel plow,
901,ALL,11/3/1997,15,Offset disks,
901,ALL,12/3/1997,15,Other,Mounded up using alabama sweeps
901,ALL,7/4/1997,15,Billet Planter,Billet planted 15 cm below top of mound
901,ALL,7/4/1997,15,Billet Planter,Billet planted into mound 15 cm deep with 5 cm of cover
901,ALL,22/04/1997,10,Other,Incorporated Stomp and Atrazine application
901,ALL,22/04/1997,15,Other,Incorporated atrazine and stomp
901,ALL,9/7/1997,10,Other,Interrow cultivation using a scarry
901,ALL,15/07/1997,10,Other,Interrow cultivation with scarry to fill in cane
905,ALL,14/06/1996,20,Chisel plow,Break up hard surface layer.             OPERATOR: A. Newport
905,ALL,17/06/1996,25,Chisel plow,Re worked to get more depth in top soil. OPERATOR: A. Newport
905,ALL,18/06/1996,30,Chisel plow,Final working to increase soil depth. OPERATOR: A Newport.
905,ALL,9/7/1996,10,Offset disks,Prepare soil for mounding up
905,ALL,2/8/1996,10,Rotary hoe,
905,ALL,19/08/1996,15,Other,Mounded up using alabama sweeps
905,ALL,12/9/1996,15,Billet Planter,planted 15 cm below the top of the mound with 5 cm of cover.
905,ALL,21/10/1996,10,Other,interrow cultivation using a cotton king
905,ALL,10/12/1996,10,Other,Scarried block twice to fill in rows
908,ALL,10/9/1999,5,Coulter ripper,Interrow Ripping - Depth??
